Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Effect of dietary fat supplementation on methane emissions from dairy cows fed wheat or corn.","/pubmed/30660414","Alvarez-Hess PS, Williams SRO, Jacobs JL, Hannah MC, Beauchemin KA, Eckard RJ, Wales WJ, Morris GL, Moate PJ.","J Dairy Sci. 2019 Mar;102(3):2714-2723. doi: 10.3168/jds.2018-14721. Epub 2019 Jan 17.","J Dairy Sci.  2019","PubMed","citation","PMID:30660414","pubmed","30660414","create date:2019/01/21 | first author:Alvarez-Hess PS",
"Spine and Lower Extremity Kinematics Exhibited During Running by Adolescent Idiopathic Scoliosis Patients With Spinal Fusion.","/pubmed/30660219","Kakar RS, Li Y, Brown CN, Oswald TS, Simpson KJ.","Spine Deform. 2019 Mar;7(2):254-261. doi: 10.1016/j.jspd.2018.08.015.","Spine Deform.  2019","PubMed","citation","PMID:30660219","pubmed","30660219","create date:2019/01/21 | first author:Kakar RS",
"A randomized, controlled comparison of two professional dentin desensitizing agents immediately post-treatment and 2 months post-treatment.","/pubmed/30658375","Anderson CJ, Kugel G, Gerlach R.","Am J Dent. 2018 Dec;31(6):297-302.","Am J Dent.  2018","PubMed","citation","PMID:30658375","pubmed","30658375","create date:2019/01/19 | first author:Anderson CJ",
"Brain DSC MR Perfusion in Children: A Clinical Feasibility Study Using Different Technical Standards of Contrast Administration.","/pubmed/30655255","Gaudino S, Martucci M, Botto A, Ruberto E, Leone E, Infante A, Ramaglia A, Caldarelli M, Frassanito P, Triulzi FM, Colosimo C.","AJNR Am J Neuroradiol. 2019 Feb;40(2):359-365. doi: 10.3174/ajnr.A5954. Epub 2019 Jan 17.","AJNR Am J Neuroradiol.  2019","PubMed","citation","PMID:30655255","pubmed","30655255","create date:2019/01/19 | first author:Gaudino S",
"Vitamin D supplementation of 4000 IU daily and cardiac function in patients with advanced heart failure: The EVITA trial.","/pubmed/30654912","Zittermann A, Ernst JB, Prokop S, Fuchs U, Gruszka A, Dreier J, Kuhn J, Knabbe C, Berthold HK, Gouni-Berthold I, Pilz S, Gummert JF, Paluszkiewicz L.","Int J Cardiol. 2019 Apr 1;280:117-123. doi: 10.1016/j.ijcard.2019.01.027. Epub 2019 Jan 9.","Int J Cardiol.  2019","PubMed","citation","PMID:30654912","pubmed","30654912","create date:2019/01/19 | first author:Zittermann A",
"High-Density Lipoprotein Particle Subfractions in Heart Failure With Preserved or Reduced Ejection Fraction.","/pubmed/30654890","Hunter WG, McGarrah RW 3rd, Kelly JP, Khouri MG, Craig DM, Haynes C, Felker GM, Hernandez AF, Velazquez EJ, Kraus WE, Shah SH.","J Am Coll Cardiol. 2019 Jan 22;73(2):177-186. doi: 10.1016/j.jacc.2018.10.059.","J Am Coll Cardiol.  2019","PubMed","citation","PMID:30654890","pubmed","30654890","create date:2019/01/19 | first author:Hunter WG",
"Little video-gaming in adolescents can be protective, but too much is associated with increased substance use.","/pubmed/30654698","Turel O, Bechara A.","Subst Use Misuse. 2019;54(3):384-395. doi: 10.1080/10826084.2018.1496455. Epub 2019 Jan 17.","Subst Use Misuse.  2019","PubMed","citation","PMID:30654698","pubmed","30654698","create date:2019/01/19 | first author:Turel O",
"Does metformin therapy influence the effects of intensive lifestyle intervention? Exploring the interaction between first line therapies in the Look AHEAD trial.","/pubmed/30653978","Terada T, Boulé NG.","Metabolism. 2019 May;94:39-46. doi: 10.1016/j.metabol.2019.01.004. Epub 2019 Jan 14.","Metabolism.  2019","PubMed","citation","PMID:30653978","pubmed","30653978","create date:2019/01/18 | first author:Terada T",
"A Pilot Study of the Efficacy of a Cognitive Training Based on Board Games in Children with Attention-Deficit/Hyperactivity Disorder: A Randomized Controlled Trial.","/pubmed/30653355","Estrada-Plana V, Esquerda M, Mangues R, March-Llanes J, Moya-Higueras J.","Games Health J. 2019 Aug;8(4):265-274. doi: 10.1089/g4h.2018.0051. Epub 2019 Jan 17.","Games Health J.  2019","PubMed","citation","PMID:30653355","pubmed","30653355","create date:2019/01/18 | first author:Estrada-Plana V",
"Single-cell expression noise and gene-body methylation in Arabidopsis thaliana.","/pubmed/30651589","Horvath R, Laenen B, Takuno S, Slotte T.","Heredity (Edinb). 2019 Aug;123(2):81-91. doi: 10.1038/s41437-018-0181-z. Epub 2019 Jan 16.","Heredity (Edinb).  2019","PubMed","citation","PMID:30651589","pubmed","30651589","create date:2019/01/18 | first author:Horvath R",
"MRI and Dose Selection in a Phase II Trial of Baricitinib with Conventional Synthetic Disease-modifying Antirheumatic Drugs in Rheumatoid Arthritis.","/pubmed/30647190","Peterfy C, DiCarlo J, Emery P, Genovese MC, Keystone EC, Taylor PC, Schlichting DE, Beattie SD, Luchi M, Macias W.","J Rheumatol. 2019 Aug;46(8):887-895. doi: 10.3899/jrheum.171469. Epub 2019 Jan 15.","J Rheumatol.  2019","PubMed","citation","PMID:30647190","pubmed","30647190","create date:2019/01/17 | first author:Peterfy C",
"Association of the Haptoglobin Gene Polymorphism With Cognitive Function and Decline in Elderly African American Adults With Type 2 Diabetes: Findings From the Action to Control Cardiovascular Risk in Diabetes-Memory in Diabetes (ACCORD-MIND) Study.","/pubmed/30646354","Beeri MS, Lin HM, Sano M, Ravona-Springer R, Liu X, Bendlin BB, Gleason CE, Guerrero-Berroa E, Soleimani L, Launer LJ, Ehrenberg S, Lache O, Seligman YK, Levy AP.","JAMA Netw Open. 2018 Nov 2;1(7):e184458. doi: 10.1001/jamanetworkopen.2018.4458.","JAMA Netw Open.  2018","PubMed","citation","PMID:30646354 | PMCID:PMC6324406","pubmed","30646354","create date:2019/01/16 | first author:Beeri MS",
"Effects of Continuous Care Model on Depression, Anxiety, and Stress in Iranian Elderly in Shiraz.","/pubmed/30643829","Gholamzadeh S, Pourjam E, Najafi Kalyani M.","Int J Community Based Nurs Midwifery. 2019 Jan;7(1):13-21.","Int J Community Based Nurs Midwifery.  2019","PubMed","citation","PMID:30643829 | PMCID:PMC6311207","pubmed","30643829","create date:2019/01/16 | first author:Gholamzadeh S",
"Dietary Inflammatory Index Score and Its Association with Body Weight, Blood Pressure, Lipid Profile, and Leptin in Indonesian Adults.","/pubmed/30641979","Muhammad HFL, van Baak MA, Mariman EC, Sulistyoningrum DC, Huriyati E, Lee YY, Wan Muda WAM.","Nutrients. 2019 Jan 11;11(1). pii: E148. doi: 10.3390/nu11010148.","Nutrients.  2019","PubMed","citation","PMID:30641979 | PMCID:PMC6356884","pubmed","30641979","create date:2019/01/16 | first author:Muhammad HFL",
"Upwelling modulation of functional traits of a dominant planktonic grazer during ""warm-acid"" El Niño 2015 in a year-round upwelling area of Humboldt Current.","/pubmed/30640913","Aguilera VM, Escribano R, Vargas CA, González MT.","PLoS One. 2019 Jan 14;14(1):e0209823. doi: 10.1371/journal.pone.0209823. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30640913 | PMCID:PMC6331177","pubmed","30640913","create date:2019/01/15 | first author:Aguilera VM",
"Feasibility, Acceptability, and Behavioral Outcomes from a Technology-enhanced Behavioral Change Intervention (Prostate 8): A Pilot Randomized Controlled Trial in Men with Prostate Cancer.","/pubmed/30638635","Kenfield SA, Van Blarigan EL, Ameli N, Lavaki E, Cedars B, Paciorek AT, Monroy C, Tantum LK, Newton RU, Signorell C, Suh JH, Zhang L, Cooperberg MR, Carroll PR, Chan JM.","Eur Urol. 2019 Jun;75(6):950-958. doi: 10.1016/j.eururo.2018.12.040. Epub 2019 Jan 10.","Eur Urol.  2019","PubMed","citation","PMID:30638635","pubmed","30638635","create date:2019/01/15 | first author:Kenfield SA",
"The correlation between baseline score and post-intervention score, and its implications for statistical analysis.","/pubmed/30635021","Clifton L, Clifton DA.","Trials. 2019 Jan 11;20(1):43. doi: 10.1186/s13063-018-3108-3.","Trials.  2019","PubMed","citation","PMID:30635021 | PMCID:PMC6330413","pubmed","30635021","create date:2019/01/13 | first author:Clifton L",
"Association of objective sedentary behaviour and self-rated health in English older adults.","/pubmed/30635016","Wilson JJ, Blackburn NE, O'Reilly R, Kee F, Caserotti P, Tully MA.","BMC Res Notes. 2019 Jan 11;12(1):12. doi: 10.1186/s13104-019-4050-5.","BMC Res Notes.  2019","PubMed","citation","PMID:30635016 | PMCID:PMC6330416","pubmed","30635016","create date:2019/01/13 | first author:Wilson JJ",
"Exposure to antenatal corticosteroids and reduced respiratory sinus arrhythmia in adult survivors of extremely low birth weight.","/pubmed/30633628","Savoy C, Mathewson KJ, Schmidt LA, Morrison KM, Saigal S, Boyle MH, Van Lieshout RJ.","Int J Neurosci. 2019 Aug;129(8):776-783. doi: 10.1080/00207454.2019.1567511. Epub 2019 Feb 15.","Int J Neurosci.  2019","PubMed","citation","PMID:30633628","pubmed","30633628","create date:2019/01/12 | first author:Savoy C",
"Characterization of the Effect of Renal Impairment on Upadacitinib Pharmacokinetics.","/pubmed/30633369","Mohamed MF, Trueman S, Feng T, Anderson J, Marbury TC, Othman AA.","J Clin Pharmacol. 2019 Jun;59(6):856-862. doi: 10.1002/jcph.1375. Epub 2019 Jan 11.","J Clin Pharmacol.  2019","PubMed","citation","PMID:30633369 | PMCID:PMC6590375","pubmed","30633369","create date:2019/01/12 | first author:Mohamed MF",
"Mobile App for Improved Self-Management of Type 2 Diabetes: Multicenter Pragmatic Randomized Controlled Trial.","/pubmed/30632972","Agarwal P, Mukerji G, Desveaux L, Ivers NM, Bhattacharyya O, Hensel JM, Shaw J, Bouck Z, Jamieson T, Onabajo N, Cooper M, Marani H, Jeffs L, Bhatia RS.","JMIR Mhealth Uhealth. 2019 Jan 10;7(1):e10321. doi: 10.2196/10321.","JMIR Mhealth Uhealth.  2019","PubMed","citation","PMID:30632972 | PMCID:PMC6329896","pubmed","30632972","create date:2019/01/12 | first author:Agarwal P",
"Sociodemographic, Clinical Variables, and Quality of Life in Patients with Epilepsy in Mekelle City, Northern Ethiopia.","/pubmed/30631380","Gebre AK, Haylay A.","Behav Neurol. 2018 Dec 2;2018:7593573. doi: 10.1155/2018/7593573. eCollection 2018.","Behav Neurol.  2018","PubMed","citation","PMID:30631380 | PMCID:PMC6305035","pubmed","30631380","create date:2019/01/12 | first author:Gebre AK",
"Discovery of mitochondrial DNA variants associated with genome-wide blood cell gene expression: a population-based mtDNA sequencing study.","/pubmed/30629177","Laaksonen J, Seppälä I, Raitoharju E, Mononen N, Lyytikäinen LP, Waldenberger M, Illig T, Lepistö M, Almusa H, Ellonen P, Hutri-Kähönen N, Juonala M, Kähönen M, Raitakari O, Salonen JT, Lehtimäki T.","Hum Mol Genet. 2019 Apr 15;28(8):1381-1391. doi: 10.1093/hmg/ddz011.","Hum Mol Genet.  2019","PubMed","citation","PMID:30629177","pubmed","30629177","create date:2019/01/11 | first author:Laaksonen J",
"Randomized controlled trial of the immediate and long-term effect of massage on adult postburn scar.","/pubmed/30626496","Nedelec B, Couture MA, Calva V, Poulin C, Chouinard A, Shashoua D, Gauthier N, Correa JA, de Oliveira A, Mazer B, LaSalle L.","Burns. 2019 Feb;45(1):128-139. doi: 10.1016/j.burns.2018.08.018. Epub 2018 Oct 26.","Burns.  2019","PubMed","citation","PMID:30626496","pubmed","30626496","create date:2019/01/11 | first author:Nedelec B",
"Meal Enjoyment and Tolerance in Women and Men.","/pubmed/30626147","Monrroy H, Pribic T, Galan C, Nieto A, Amigo N, Accarino A, Correig X, Azpiroz F.","Nutrients. 2019 Jan 8;11(1). pii: E119. doi: 10.3390/nu11010119.","Nutrients.  2019","PubMed","citation","PMID:30626147 | PMCID:PMC6356583","pubmed","30626147","create date:2019/01/11 | first author:Monrroy H",
"A Comparative Study on the Effectiveness of Individual and Group Play Therapy on Symptoms of Oppositional Defiant Disorder among Children.","/pubmed/30625268","Morshed N, Babamiri M, Zemestani M, Alipour N.","Korean J Fam Med. 2019 Jan 9. doi: 10.4082/kjfm.18.0045. [Epub ahead of print]","Korean J Fam Med.  2019","PubMed","citation","PMID:30625268","pubmed","30625268","create date:2019/01/10 | first author:Morshed N",
"Lower total cerebral arterial flow contributes to cognitive performance in multiple sclerosis patients.","/pubmed/30625030","Jakimovski D, Benedict RH, Marr K, Gandhi S, Bergsland N, Weinstock-Guttman B, Zivadinov R.","Mult Scler. 2019 Jan 9:1352458518819608. doi: 10.1177/1352458518819608. [Epub ahead of print]","Mult Scler.  2019","PubMed","citation","PMID:30625030 | PMCID:PMC6616024","pubmed","30625030","create date:2019/01/10 | first author:Jakimovski D",
"Differences in nutritional status and activities of daily living and mobility in elderly hospitalized patients with heart failure.","/pubmed/30624858","Kitamura M, Izawa KP, Yaekura M, Mimura Y, Nagashima H, Oka K.","ESC Heart Fail. 2019 Apr;6(2):344-350. doi: 10.1002/ehf2.12393. Epub 2019 Jan 9.","ESC Heart Fail.  2019","PubMed","citation","PMID:30624858 | PMCID:PMC6437428","pubmed","30624858","create date:2019/01/10 | first author:Kitamura M",
"Extended-release gabapentin for failed back surgery syndrome: results from a randomized double-blind cross-over study.","/pubmed/30624344","Gewandter JS, Frazer ME, Cai X, Chiodo VF, Rast SA, Dugan M, Carter HA, Rahmani R, Stone JJ, Markman JD.","Pain. 2019 May;160(5):1029-1036. doi: 10.1097/j.pain.0000000000001478.","Pain.  2019","PubMed","citation","PMID:30624344","pubmed","30624344","create date:2019/01/10 | first author:Gewandter JS",
"Pharmacokinetics, pharmacodynamics, and safety of bococizumab, a monoclonal antibody against proprotein convertase subtilisin/kexin type 9, in healthy subjects when administered in co-mixture with recombinant human hyaluronidase: A phase 1 randomized trial.","/pubmed/30623096","Bass A, Plotka A, Mridha K, Sattler C, Kim AM, Plowchalk DR.","Health Sci Rep. 2018 Jul 18;1(9):e61. doi: 10.1002/hsr2.61. eCollection 2018 Sep.","Health Sci Rep.  2018","PubMed","citation","PMID:30623096 | PMCID:PMC6266420","pubmed","30623096","create date:2019/01/10 | first author:Bass A",
"Factors associated with daily life physical activity in patients with asthma.","/pubmed/30623040","Hennegrave F, Le Rouzic O, Fry S, Behal H, Chenivesse C, Wallaert B.","Health Sci Rep. 2018 Aug 15;1(10):e84. doi: 10.1002/hsr2.84. eCollection 2018 Oct.","Health Sci Rep.  2018","PubMed","citation","PMID:30623040 | PMCID:PMC6266451","pubmed","30623040","create date:2019/01/10 | first author:Hennegrave F",
"Influence of maternal exercise on fetal heart response during labor and delivery.","/pubmed/30623037","McDonald S, Satterfield NA, May LE, Newton ER, Livingston J, Fang X.","Health Sci Rep. 2018 Aug 13;1(10):e81. doi: 10.1002/hsr2.81. eCollection 2018 Oct.","Health Sci Rep.  2018","PubMed","citation","PMID:30623037 | PMCID:PMC6266368","pubmed","30623037","create date:2019/01/10 | first author:McDonald S",
"The Influence of Clinically Diagnosed Neuropathy on Respiratory Muscle Strength in Type 2 Diabetes Mellitus.","/pubmed/30622971","Van Eetvelde BLM, Cambier D, Vanden Wyngaert K, Celie B, Calders P.","J Diabetes Res. 2018 Nov 29;2018:8065938. doi: 10.1155/2018/8065938. eCollection 2018.","J Diabetes Res.  2018","PubMed","citation","PMID:30622971 | PMCID:PMC6304822","pubmed","30622971","create date:2019/01/10 | first author:Van Eetvelde BLM",
"Cognitive Behavioral Therapy for Insomnia Reduces Depression in Cancer Survivors.","/pubmed/30621831","Peoples AR, Garland SN, Pigeon WR, Perlis ML, Wolf JR, Heffner KL, Mustian KM, Heckler CE, Peppone LJ, Kamen CS, Morrow GR, Roscoe JA.","J Clin Sleep Med. 2019 Jan 15;15(1):129-137. doi: 10.5664/jcsm.7586.","J Clin Sleep Med.  2019","PubMed","citation","PMID:30621831 | PMCID:PMC6329536","pubmed","30621831","create date:2019/01/10 | first author:Peoples AR",
"Preconception lifestyle intervention reduces long term energy intake in women with obesity and infertility: a randomised controlled trial.","/pubmed/30621789","van Elten TM, Karsten MDA, Geelen A, Gemke RJBJ, Groen H, Hoek A, van Poppel MNM, Roseboom TJ.","Int J Behav Nutr Phys Act. 2019 Jan 8;16(1):3. doi: 10.1186/s12966-018-0761-6.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:30621789 | PMCID:PMC6325811","pubmed","30621789","create date:2019/01/10 | first author:van Elten TM",
"Not only a Problem of Fatigue and Sleepiness: Changes in Psychomotor Performance in Italian Nurses across 8-h Rapidly Rotating Shifts.","/pubmed/30621274","Di Muzio M, Reda F, Diella G, Di Simone E, Novelli L, D'Atri A, Giannini A, De Gennaro L.","J Clin Med. 2019 Jan 5;8(1). pii: E47. doi: 10.3390/jcm8010047.","J Clin Med.  2019","PubMed","citation","PMID:30621274 | PMCID:PMC6352064","pubmed","30621274","create date:2019/01/10 | first author:Di Muzio M",
"The Effects of Whey vs. Pea Protein on Physical Adaptations Following 8-Weeks of High-Intensity Functional Training (HIFT): A Pilot Study.","/pubmed/30621129","Banaszek A, Townsend JR, Bender D, Vantrease WC, Marshall AC, Johnson KD.","Sports (Basel). 2019 Jan 4;7(1). pii: E12. doi: 10.3390/sports7010012.","Sports (Basel).  2019","PubMed","citation","PMID:30621129 | PMCID:PMC6358922","pubmed","30621129","create date:2019/01/10 | first author:Banaszek A",
"The Effects of Two New Dual Zinc plus Arginine Dentifrices in Reducing Oral Bacteria in Multiple Locations in the Mouth: 12-Hour Whole Mouth Antibacterial Protection for Whole Mouth Health.","/pubmed/30620868","Prasad KV, Therathil SG, Agnihotri A, Sreenivasan PK, Mateo LR, Cummins D.","J Clin Dent. 2018 Sep;29(Spec No A):A25-32.","J Clin Dent.  2018","PubMed","citation","PMID:30620868","pubmed","30620868","create date:2019/01/09 | first author:Prasad KV",
